rem,in,out
5,18.36,0.36
4,18,5.45
3,12.55,3.05
2,9.5,5.62
15,60,3.16
14,56.84,2.34
13,54.5,0.81
12,53.69,1.37
11,52.32,2.97
10,49.35,7.31
9,42.04,6.92
8,35.12,2.04
7,33.08,3.5
6,29.58,1.49
5,28.09,8.35
4,19.74,0.49
3,19.25,10.02
2,9.23,0.56
15,60,6.24
14,53.76,5.2
13,48.56,6.02
12,42.54,4.08
11,38.46,6.77
10,31.69,1.22
9,30.47,6.41
8,24.06,3.54
7,20.52,5.43
6,15.09,3.31
5,11.78,0.88
4,10.9,3.12
3,7.78,2.37
2,5.41,2.69
15,60,4.37
14,55.63,5.88
13,49.75,5.2
12,44.55,2.11
11,42.44,0.38
10,42.06,1.06
9,41,0.45
8,40.55,3.55
7,37,6.51
6,30.49,6.78
5,23.71,1.22
4,22.49,2.7
3,19.79,11.88
2,7.91,3.65
15,60,2.44
14,57.56,1.02
13,56.54,7.7
12,48.84,7.17
11,41.67,0.37
10,41.3,6.7
9,34.6,6.64
8,27.96,6.03
7,21.93,2.44
6,19.49,3.14
5,16.35,6.19
4,10.16,1.44
3,8.72,3.42
2,5.3,0.87
15,60,3.92
14,56.08,1.02
13,55.06,5.25
12,49.81,5.11
11,44.7,2.05
10,42.65,8.48
9,34.17,6.4
8,27.77,0.63
7,27.14,5.77
6,21.37,6.92
5,14.45,0.94
4,13.51,4.87
3,8.64,0.67
2,7.97,6.6
15,60,6.7
14,53.3,3.61
13,49.69,2.89
12,46.8,5.34
11,41.46,0.68
10,40.78,2.61
9,38.17,0.42
8,37.75,1.83
7,35.92,9.51
6,26.41,1.09
5,25.32,5.89
4,19.43,0.57
3,18.86,0.62
2,18.24,1.94
15,60,0.4
14,59.6,3.47
13,56.13,1.75
12,54.38,1.63
11,52.75,5.9
10,46.85,9.25
9,37.6,8.2
8,29.4,3.06
7,26.34,6.91
6,19.43,3.4
5,16.03,6.09
4,9.94,3.82
3,6.12,0.64
2,5.48,5
15,60,7.99
14,52.01,3.7
13,48.31,0.37
12,47.94,5.29
11,42.65,1.13
10,41.52,6.98
9,34.54,2.7
8,31.84,0.57
7,31.27,5.42
6,25.85,0.43
5,25.42,3.21
4,22.21,2.25
3,19.96,8.17
2,11.79,8.84
15,60,4.98
14,55.02,4.43
13,50.59,2.62
12,47.97,7.2
11,40.77,6.5
10,34.27,6.43
9,27.84,0.3
8,27.54,6.58
7,20.96,3.32
6,17.64,1.64
5,16,2.02
4,13.98,5.71
3,8.27,4.5
2,3.77,1.34
15,60,3.95
14,56.05,4.52
13,51.53,7.88
12,43.65,2.43
11,41.22,6.38
10,34.84,3.98
9,30.86,2.99
8,27.87,1.79
7,26.08,0.62
6,25.46,0.42
5,25.04,2.73
4,22.31,2.33
3,19.98,0.87
2,19.11,9.6
15,60,3.05
14,56.95,0.4
13,56.55,5.63
12,50.92,5.02
11,45.9,2.17
10,43.73,5.6
9,38.13,3.91
8,34.22,1.37
7,32.85,7.51
6,25.34,1.58
5,23.76,5.22
4,18.54,5.93
3,12.61,2.68
2,9.93,9.33
15,60,7.06
14,52.94,1.52
13,51.42,1.96
12,49.46,6.89
11,42.57,6.53
10,36.04,3.49
9,32.55,0.84
8,31.71,2.44
7,29.27,7.03
6,22.24,1.54
5,20.7,4.37
4,16.33,4.62
3,11.71,1.69
2,10.02,2.06
15,60,5.85
14,54.15,3.65
13,50.5,4.07
12,46.43,3.65
11,42.78,7.36
10,35.42,6.67
9,28.75,4.45
8,24.3,0.3
7,24,2.46
6,21.54,4.33
5,17.21,1.09
4,16.12,6.06
3,10.06,3.98
2,6.08,4.49
15,60,7.1
14,52.9,7.5
13,45.4,2.9
12,42.5,2.08
11,40.42,6.84
10,33.58,5.62
9,27.96,3.22
8,24.74,3.72
7,21.02,3.83
6,17.19,3.58
5,13.61,4.31
4,9.3,1.04
3,8.26,1.79
2,6.47,1.44
15,60,6.84
14,53.16,2.55
13,50.61,3.33
12,47.28,1.13
11,46.15,2.39
10,43.76,2.1
9,41.66,1.83
8,39.83,0.49
7,39.34,3.79
6,35.55,11.33
5,24.22,2.01
4,22.21,9.69
3,12.52,1.03
2,11.49,3.9
15,60,6.45
14,53.55,4.14
13,49.41,0.57
12,48.84,7.64
11,41.2,4.48
10,36.72,5.54
9,31.18,2.92
8,28.26,2.42
7,25.84,3.54
6,22.3,6.24
5,16.06,0.64
4,15.42,3.3
3,12.12,1.6
2,10.52,4.41
15,60,2.04
14,57.96,7.75
13,50.21,3.78
12,46.43,1.47
11,44.96,7.8
10,37.16,0.73
9,36.43,2.28
8,34.15,3.5
7,30.65,3.4
6,27.25,6.23
5,21.02,0.42
4,20.6,2.19
3,18.41,5.36
2,13.05,10.33
15,60,0.84
14,59.16,3.6
13,55.56,4.25
12,51.31,1.83
11,49.48,2.04
10,47.44,6.73
9,40.71,0.45
8,40.26,6.28
7,33.98,4.77
6,29.21,7.38
5,21.83,8.43
4,13.4,0.33
3,13.07,8.56
2,4.51,2.46
15,60,7.24
14,52.76,7.01
13,45.75,6.13
12,39.62,1.6
11,38.02,0.34
10,37.68,2.93
9,34.75,4.77
8,29.98,5.28
7,24.7,4.77
6,19.93,4.42
5,15.51,3.75
4,11.76,5.8
3,5.96,2.53
2,3.43,1.88
15,60,3.98
14,56.02,5.59
13,50.43,0.77
12,49.66,0.41
11,49.25,8.32
10,40.93,3.13
9,37.8,1.44
8,36.36,7.17
7,29.19,2.47
6,26.72,3.36
5,23.36,7.64
